x,y,z
1.0,1.0,1.0
1.0125682147110906,1.2599461029836727,0.9848896939420647
1.0488309629576553,1.524054489185859,0.9731123483776566
1.1072270353147,1.7983989914149792,0.9651573543846812
1.1869015567228915,2.0886655579311624,0.9617370386877752
1.2876104395804406,2.400322470520117,0.963808826034076
1.4096485522048832,2.7387642820082694,0.9726158802832733
1.553797686703987,3.1094330282549416,0.9897465389738576
1.721289525497549,3.5179205704019476,1.0172133055725323
1.9137814596687475,3.9700518375302147,1.057554868441315
2.133341457827415,4.471949008302653,1.1139646157191159
2.3824394942637492,5.030072965313046,1.1904506453202364
2.6639424098188718,5.651236151327912,1.2920328767976583
2.9811087094316138,6.342577003247469,1.424983455041957
3.337579017936941,7.111481643836536,1.597116357151374
3.7373566405518255,7.965432298209774,1.818130987895753
4.184770858328574,8.911754054563332,2.100011418979603
4.684413285066237,9.957222608926426,2.4574768238857962
5.2410342356222905,11.107483868027064,2.908467813737344
5.85938224755492,12.366225265011469,3.474635400169826
6.543965135623777,13.734028485358808,4.181771162886655
7.298706296367274,15.20682986141286,5.0600760535175295
8.126465446063133,16.773924770128172,6.144106454310512
9.028391758866334,18.415491017221232,7.472162274176592
10.003081468152503,20.099690379466022,9.084796349925487
11.045527191983654,21.779560915649682,11.022050330249566
12.145878609504063,23.390157156048904,13.318996229923235
13.28809149668918,24.84673201909019,15.999261253149108
14.448628890390625,26.04513833796248,19.066530197664623
15.595490583819394,26.865925812493177,22.49465438551603
16.68796347837319,27.183572645038524,26.217972047066407
17.67755754370872,26.88158862963291,30.124593203138488
18.510547130469778,25.87260302135975,34.05624354884578
19.132299933837274,24.12012393592397,37.81803601169693
19.49312115643359,21.656246145339793,41.19952907106745
19.554757746353854,18.58862001409815,44.004656135158214
19.296216980237684,15.09187052416698,46.08383049193583
18.717438029147946,11.38345394693788,47.359080584107424
17.83977831122669,7.689764582252092,47.834397950637246
16.7031388906867,4.212072489301605,47.58851014811869
15.360497127159313,1.1014674725346971,46.75353538128431
13.871234739335755,-1.5521982126144207,45.487207657822985
12.294728425384983,-3.7177740809342468,43.94682064583614
10.685284267147406,-5.4109826911801155,42.27037492831374
9.088905561116801,-6.678792453651474,40.56667920738983
7.5418508800062005,-7.584467489566139,38.91321275831622
6.070609568561864,-8.195822210347202,37.3591657742576
4.692806937147081,-8.577406016241621,35.931014179355294
3.4185914069744188,-8.786200997450816,34.63864853503166
2.2521649863265125,-8.8699276843998,33.48088817148852
1.1932417986455512,-8.867019672489885,32.449882628976226
0.23832110764186007,-8.807505691202506,31.534329368496703
-0.6182664481096057,-8.71427322119007,30.721657018380196
-1.3835372838781246,-8.604393517319577,29.999399308220177
-2.0652332833713705,-8.49033939415197,29.35598337012719
-2.6713669411447905,-8.381024945742938,28.781120018027217
-3.2098994011130224,-8.28265285480512,28.2659389319579
-3.688520994048581,-8.199383576767511,27.80297059799513
-4.114508763519603,-8.133852407127371,27.386043971956603
-4.4946405386286665,-8.08756279455743,27.01014444232099
-4.835149695547253,-8.06118204071181,26.67125935664234
-5.141708592405677,-8.054761413035804,26.366226824958737
-5.419431588660631,-8.067898655576018,26.092596176682996
-5.672890994014805,-8.099856939732344,25.848503593760785
-5.906141265199188,-8.14965059348517,25.632563472448197
-6.122747691595867,-8.216106240776227,25.443774882633488
-6.325817271658375,-8.297905249583662,25.281441260970595
-6.518029981896659,-8.393612231668541,25.145101349195684
-6.7016692495370505,-8.501693286882185,25.03446930182783
-6.87865089829212,-8.620526770966194,24.949382022645985
-7.050550087325274,-8.748408967981245,24.889751975207716
-7.218626055883728,-8.883556593588327,24.855523987294305
-7.3838446726710485,-9.024107744585354,24.84663488244894
-7.546898919148496,-9.168122826648913,24.862975026467623
-7.708227537814982,-9.31358662086137,24.904351280884548
-7.86803224824335,-9.458413055402383,24.970450900568697
-8.026293924068435,-9.60045339791699,25.060806643948357
-8.182788228025537,-9.737509067657642,25.17476327310073
-8.337101230314936,-9.867349792584738,25.311446167152727
-8.488645553617646,-9.98773770964803,25.46973295641577
-8.636677578170834,-10.096457713125554,25.648229375503387
-8.780316214688753,-10.19135400261757,25.845250772927503
-8.918563561068469,-10.270372411342294,26.058810458002327
-9.050328044771485,-10.331607639262693,26.28661717683735
-9.174449878186419,-10.373353815441787,26.5260823244299
-9.289729059589705,-10.394156750318661,26.77433848312261
-9.394955664447789,-10.392865428058148,27.028270027732933
-9.488942057204467,-10.368680294164445,27.284556021383324
-9.570556169568087,-10.321194185938133,27.539724984608497
-9.638755328326543,-10.250425832943922,27.790219973565197
-9.692619344885415,-10.15683994320836,28.03247258490436
